"No.","Time","Source","Destination","Protocol","Length","Info"
"153","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"154","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"155","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"156","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"157","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"158","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"159","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"160","5.519094","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"161","5.519147","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"162","5.519177","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"163","5.519177","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"164","5.519219","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"165","5.520090","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"166","5.520090","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"167","5.520139","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"168","5.520139","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"169","5.520139","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"170","5.520139","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"171","5.520139","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"172","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"173","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"174","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"175","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"176","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"177","5.520207","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"178","5.520242","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"179","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"180","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"181","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"182","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"183","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"184","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"185","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"186","5.520293","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"187","5.520323","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"188","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"189","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"190","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"191","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"192","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"193","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"194","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"195","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"196","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"197","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"198","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"199","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"200","5.520452","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"201","5.520563","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"202","5.520563","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"203","5.520563","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"204","5.520563","151.99.51.238","192.168.1.114","UDP","492","443  >  61661 Len=450"
"205","5.520563","151.99.51.238","192.168.1.114","UDP","68","443  >  61661 Len=26"
"206","5.520581","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"207","5.520648","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"208","5.522366","192.168.1.114","151.99.51.238","UDP","76","61661  >  443 Len=34"
"209","5.713576","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"210","5.768291","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"211","5.893943","192.168.1.114","104.113.244.114","TCP","55","58307  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"212","5.904356","104.113.244.114","192.168.1.114","TCP","66","443  >  58307 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"213","6.000055","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   Negative Acknowledgement (H.261)   [Malformed Packet]"
"214","6.116797","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.32? Tell 192.168.1.1"
"215","6.121687","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.67? Tell 192.168.1.1"
"216","6.127671","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.216? Tell 192.168.1.1"
"217","6.388567","162.159.134.234","192.168.1.114","TLSv1.2","133","Application Data"
"218","6.436986","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=691 Win=1024 Len=0"
"219","6.456637","192.168.1.114","66.22.238.15","RTCP","102","Sender Report   "
"220","6.531922","192.168.1.114","162.254.197.39","TLSv1.2","110","Application Data"
"221","6.606875","162.254.197.39","192.168.1.114","TCP","60","27032  >  50075 [ACK] Seq=1 Ack=57 Win=1022 Len=0"
"222","6.737525","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"223","6.857261","192.168.1.114","104.113.244.114","TCP","55","58308  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"224","6.868839","104.113.244.114","192.168.1.114","TCP","66","443  >  58308 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"225","6.999936","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"226","7.276812","192.168.1.114","2.20.252.17","TCP","55","64555  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"227","7.291485","2.20.252.17","192.168.1.114","TCP","66","443  >  64555 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"228","7.515233","192.168.1.114","66.22.238.15","UDP","50","53858  >  50003 Len=8"
"229","7.530469","66.22.238.15","192.168.1.114","UDP","60","50003  >  53858 Len=8"
"230","7.761521","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"231","7.770503","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"232","7.999901","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"233","8.164859","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.158? Tell 192.168.1.1"
"234","8.169611","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.186? Tell 192.168.1.1"
"235","8.366671","192.168.1.67","239.255.255.250","UDP","77","55506  >  15600 Len=35"
"236","8.624753","162.159.134.234","192.168.1.114","TLSv1.2","162","Application Data"
"237","8.666801","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=799 Win=1023 Len=0"
"238","8.785571","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"239","9.000026","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"240","9.771719","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"241","9.809331","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"242","9.870698","104.126.244.161","192.168.1.114","TLSv1.2","78","Application Data"
"243","9.870816","104.126.244.161","192.168.1.114","TCP","60","443  >  50102 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"244","9.870828","192.168.1.114","104.126.244.161","TCP","54","50102  >  443 [ACK] Seq=2 Ack=26 Win=1026 Len=0"
"245","9.919407","104.126.244.161","192.168.1.114","TLSv1.2","78","Application Data"
"246","9.919521","104.126.244.161","192.168.1.114","TCP","60","443  >  50103 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"247","9.919534","192.168.1.114","104.126.244.161","TCP","54","50103  >  443 [ACK] Seq=2 Ack=26 Win=1026 Len=0"
"248","9.920240","192.168.1.52","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"249","9.974859","192.168.1.114","108.177.119.188","TCP","55","55686  >  5228 [ACK] Seq=1 Ack=1 Win=1023 Len=1"
"250","9.999913","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"251","10.001719","108.177.119.188","192.168.1.114","TCP","66","5228  >  55686 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"252","10.195394","192.168.1.89","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"253","10.724649","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.5? Tell 192.168.1.1"
"254","10.729533","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.120? Tell 192.168.1.1"
"255","10.776963","104.113.244.114","192.168.1.114","TLSv1.2","78","Application Data"
"256","10.776963","104.113.244.114","192.168.1.114","TCP","60","443  >  58307 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"257","10.776999","192.168.1.114","104.113.244.114","TCP","54","58307  >  443 [ACK] Seq=2 Ack=26 Win=1026 Len=0"
"258","10.833280","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"259","10.999662","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"260","11.366286","192.168.1.67","192.168.1.255","UDP","77","41836  >  15600 Len=35"
"261","11.725795","104.113.244.114","192.168.1.114","TLSv1.2","78","Application Data"
"262","11.725845","104.113.244.114","192.168.1.114","TCP","60","443  >  58308 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"263","11.725857","192.168.1.114","104.113.244.114","TCP","54","58308  >  443 [ACK] Seq=2 Ack=26 Win=1026 Len=0"
"264","11.773769","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"265","11.857305","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"266","11.999838","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"267","12.046535","2.20.252.17","192.168.1.114","TLSv1.2","85","Encrypted Alert"
"268","12.046645","2.20.252.17","192.168.1.114","TCP","60","443  >  64555 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0"
"269","12.046672","192.168.1.114","2.20.252.17","TCP","54","64555  >  443 [ACK] Seq=2 Ack=33 Win=1026 Len=0"
"270","12.517141","192.168.1.114","66.22.238.15","UDP","50","53858  >  50003 Len=8"
"271","12.532136","66.22.238.15","192.168.1.114","UDP","60","50003  >  53858 Len=8"
"272","12.836806","192.168.1.114","66.22.238.15","RTCP","102","Sender Report   "
"273","12.881511","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"274","12.902517","162.159.134.234","192.168.1.114","TLSv1.2","347","Application Data"
"275","12.953326","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=1092 Win=1028 Len=0"
"276","12.999531","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"277","13.400528","162.159.134.234","192.168.1.114","TLSv1.2","149","Application Data"
"278","13.451272","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=1187 Win=1027 Len=0"
"279","13.776080","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"280","13.905389","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"281","13.999531","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   Application specific   [Malformed Packet]"
"282","14.367176","192.168.1.67","239.255.255.250","UDP","77","51907  >  15600 Len=35"
"283","14.929315","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"284","14.999839","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"285","15.059049","192.168.1.52","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"286","15.319144","192.168.1.89","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"287","15.778305","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"288","15.953425","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"289","15.999664","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"290","16.977317","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
