"No.","Time","Source","Destination","Protocol","Length","Info"
"131","8.072169","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=618 Ack=2371 Win=1022 Len=0"
"132","8.072398","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"133","8.072421","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=618 Ack=2402 Win=1022 Len=0"
"134","8.074534","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"135","8.091634","192.168.1.114","52.98.163.18","TLSv1.2","1301","Application Data"
"136","8.151754","52.98.163.18","192.168.1.114","TCP","60","443  >  50105 [ACK] Seq=2402 Ack=1865 Win=16386 Len=0"
"137","8.292712","52.98.163.18","192.168.1.114","TLSv1.2","469","Application Data"
"138","8.292796","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=1865 Ack=2817 Win=1020 Len=0"
"139","8.293034","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"140","8.293052","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=1865 Ack=2848 Win=1020 Len=0"
"141","8.323434","192.168.1.114","52.98.163.18","TLSv1.2","495","Application Data"
"142","8.323747","192.168.1.114","52.98.163.18","TLSv1.2","464","Application Data"
"143","8.324193","192.168.1.114","52.98.163.18","TLSv1.2","464","Application Data"
"144","8.324462","192.168.1.114","52.98.163.18","TLSv1.2","465","Application Data"
"145","8.341490","52.98.163.18","192.168.1.114","TCP","60","443  >  50105 [ACK] Seq=2848 Ack=2716 Win=16382 Len=0"
"146","8.342431","52.98.163.18","192.168.1.114","TCP","60","443  >  50105 [ACK] Seq=2848 Ack=3537 Win=16386 Len=0"
"147","8.410800","52.98.163.18","192.168.1.114","TLSv1.2","666","Application Data"
"148","8.410840","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=3460 Win=1024 Len=0"
"149","8.411035","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"150","8.411048","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=3491 Win=1023 Len=0"
"151","8.412577","52.98.163.18","192.168.1.114","TLSv1.2","657","Application Data"
"152","8.412608","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=4094 Win=1021 Len=0"
"153","8.412960","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"154","8.412983","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=4125 Win=1021 Len=0"
"155","8.421955","52.98.163.18","192.168.1.114","TLSv1.2","1195","Application Data"
"156","8.422002","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=5266 Win=1024 Len=0"
"157","8.422154","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"158","8.422174","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=5297 Win=1023 Len=0"
"159","8.428810","52.98.163.18","192.168.1.114","TLSv1.2","711","Application Data"
"160","8.428853","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=5954 Win=1021 Len=0"
"161","8.429306","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
